ticket_id,department,category,priority,status,created_at,resolved_at
INC-0208,Finance,Access,Medium,Resolved,2026-09-03T08:59:50Z,2026-09-03T18:08:50Z
INC-0209,ICT,Business application,Medium,Resolved,2026-08-27T06:42:28Z,2026-08-27T18:26:52Z
INC-0210,Sales,Device,Medium,Resolved,2026-09-11T00:11:47Z,2026-09-11T20:24:23Z
INC-0211,Finance,Access,High,Resolved,2026-08-22T23:56:30Z,2026-08-23T01:55:18Z
INC-0212,Sales,Business application,Low,Resolved,2026-09-09T13:50:06Z,2026-09-13T10:44:42Z
INC-0213,Finance,Network,Low,Open,2026-09-08T00:11:02Z,
INC-0214,People & Culture,Access,Medium,Resolved,2026-08-25T13:06:52Z,2026-08-27T05:38:04Z
INC-0215,Operations,Device,Medium,Resolved,2026-09-03T11:01:20Z,2026-09-04T17:08:32Z
INC-0216,Sales,Network,Low,Resolved,2026-08-18T13:58:27Z,2026-08-23T15:35:03Z
INC-0217,ICT,Access,Medium,In Progress,2026-09-12T17:15:19Z,
INC-0218,Finance,Reporting,Medium,Resolved,2026-09-13T02:01:11Z,2026-09-13T08:30:35Z
INC-0219,Sales,Device,Medium,Resolved,2026-09-06T01:58:07Z,2026-09-06T12:20:55Z
INC-0220,People & Culture,Network,Low,Resolved,2026-08-26T02:13:59Z,2026-08-29T09:43:59Z
INC-0221,People & Culture,Access,Medium,Resolved,2026-08-29T21:44:29Z,2026-08-30T16:46:17Z
INC-0222,Finance,Reporting,Critical,In Progress,2026-09-13T23:17:09Z,
INC-0223,ICT,Business application,Low,Resolved,2026-09-04T23:05:01Z,2026-09-09T16:14:37Z
INC-0224,ICT,Business application,Critical,Open,2026-09-13T21:48:41Z,
INC-0225,People & Culture,Access,Low,Resolved,2026-08-21T20:06:03Z,2026-08-25T01:19:51Z
INC-0226,ICT,Device,Medium,Resolved,2026-08-23T07:58:07Z,2026-08-23T18:10:43Z
INC-0227,Finance,Access,High,In Progress,2026-09-13T18:45:50Z,
INC-0228,ICT,Network,Critical,In Progress,2026-09-13T22:16:36Z,
INC-0229,Operations,Business application,Critical,Resolved,2026-08-28T06:17:56Z,2026-08-28T06:56:56Z
INC-0230,ICT,Access,Low,Resolved,2026-08-21T14:34:18Z,2026-08-22T19:16:18Z
INC-0231,Operations,Business application,High,Resolved,2026-08-28T18:58:31Z,2026-08-29T08:24:55Z
INC-0232,Finance,Reporting,Low,Resolved,2026-09-05T21:36:43Z,2026-09-09T10:11:31Z
INC-0233,Finance,Network,High,Resolved,2026-09-13T11:40:11Z,2026-09-13T19:18:35Z
INC-0234,People & Culture,Reporting,Medium,Resolved,2026-09-10T20:19:43Z,2026-09-11T06:05:55Z
INC-0235,Operations,Reporting,Medium,Resolved,2026-08-26T01:51:49Z,2026-08-26T21:27:49Z
INC-0236,Finance,Reporting,Low,Resolved,2026-08-18T10:51:00Z,2026-08-23T09:52:48Z
INC-0237,Sales,Business application,High,Resolved,2026-09-07T02:43:04Z,2026-09-07T03:59:16Z
INC-0238,Operations,Business application,Medium,Resolved,2026-09-04T00:53:25Z,2026-09-05T04:56:25Z
INC-0239,Operations,Device,Medium,Resolved,2026-08-26T02:15:53Z,2026-08-27T10:22:29Z
INC-0240,Finance,Access,High,Open,2026-09-13T20:31:07Z,
INC-0001,Operations,Device,Medium,Resolved,2026-09-05T12:22:29Z,2026-09-06T04:45:17Z
INC-9001,Finance,Business application,Urgent,Resolved,2026-08-23T04:41:21Z,2026-08-25T20:31:45Z
INC-9002,Sales,Device,Low,Resolved,not-a-date,2026-09-06T23:19:45Z
